ProductID,ProductName,Category,SubCategory,UnitCost,UnitPrice
P0001,Full HD TV A1,Electronics,Televisions,56481.05,69234.21
P0002,QLED Smart TV B2,electronics,Televisions,51831.84,75177.76
P0003,Smart LED TV C3,Electronics,Televisions,11335.72,14374.7
P0004,  QLED Smart TV D4 ,Electronics,Televisions,6544.82,10619.36
P0005,Smart LED TV E5,Electronics,Televisions,3322.23,4719.27
P0006,Full HD TV A6,Electronics,Televisions,26192.21,39996.37
P0007,  Full HD TV B7 ,Electronics,Televisions,20107.81,26638.81
P0008,QLED Smart TV C8,Electronics,Televisions,41916.89,76009.95
P0009,Budget Smartphone A1,Electronics,Mobile Phones,26886.09,46428.19
P0010,Budget Smartphone B2,Electronics,Mobile Phones,3239.84,4404.44
P0011,Premium Smartphone C3,Electronics,Mobile Phones,9305.33,14902.07
P0012,Premium Smartphone D4,Electronics,Mobile Phones,37762.71,50139.94
P0013,5G Smartphone E5,Electronics,Mobile Phones,25344.32,36179.73
P0014,Budget Smartphone A6,electronics,Mobile Phones,7613.27,9246.34
P0015,Budget Smartphone B7,electronics,Mobile Phones,36366.37,61606.59
P0016,Budget Smartphone C8,Electronics,Mobile Phones,52565.61,63665.16
P0017,Ultrabook A1,Electronics,Laptops,39781.99,61469.2
P0018,Business Laptop B2,Electronics,Laptops,41521.22,54876.34
P0019,Student Laptop C3,Electronics,Laptops,8737.9,12552.69
P0020,Student Laptop D4,Electronics,Laptops,13134.58,21602.44
P0021,Ultrabook E5,Electronics,Laptops,29771.48,48777.16
P0022,Ultrabook A6,Electronics,Laptops,7399.19,9422.92
P0023,Student Laptop B7,Electronics,Laptops,30666.16,36481.47
P0024,Student Laptop C8,Electronics,Laptops,33851.12,44917.11
P0025,Soundbar A1,Electronics,Audio,35089.57,45527.55
P0026,Earbuds B2,Electronics,Audio,29477.79,43098.98
P0027,Bluetooth Speaker C3,Electronics,Audio,44142.48,76661.15
P0028,Soundbar D4,Electronics,Audio,43224.87,52004.72
P0029,Soundbar E5,Electronics,Audio,43564.65,51647.41
P0030,Earbuds A6,Electronics,Audio,53305.15,76019.78
P0031,Wireless Headphones B7,Electronics,Audio,36028.78,52596.38
P0032,Power Bank A1,Electronics,Accessories,12531.14,18113.48
P0033,  USB-C Cable B2 ,Electronics,Accessories,49038.67,77394.21
P0034,Wireless Charger C3,Electronics,Accessories,41048.31,70426.35
P0035,Power Bank D4,Electronics,Accessories,21894.27,29153.55
P0036,Wireless Charger E5,Electronics,Accessories,46554.33,74177.87
