OrderID,OrderDate,CustomerID,ProductID,StoreID,Quantity,Discount,PaymentMethod
O000001,2023-07-17,C05483,P0143,S006,1,0.0,Debit Card
O000002,2024-05-09,C07690,P0034,S025,3,0.05,Debit Card
O000003,2024-03-27,C04011,P0112,S012,1,0.05,UPI
O000004,2025-06-15,C01043,P0114,S012,1,0.0,UPI
O000005,2024-09-26,C04567,P0028,S010,1,,UPI
O000006,2025-03-08,C03329,P0110,S004,1,0.0,Credit Card
O000007,2023-09-19,C04975,P0069,S006,1,0.0,Cash
O000008,2023-05-22,C02833,P0016,S021,1,0.0,Cash
O000009,2024-03-31,C05215,P0064,S019,1,0.0,Credit Card
O000010,2024-11-07,C04131,P0047,S010,3,0.05,UPI
O000011,2023-05-24,C06811,P0034,S020,3,0.0,UPI
O000012,2023-08-18,C05642,P0029,S005,5,0.0,Credit Card
O000013,2025-01-12,C02581,P0119,S022,4,0.0,Cash
O000014,2023-06-22,C06470,P0023,S014,4,0.0,Net Banking
O000015,2023-03-10,C06826,P0101,S021,2,0.0,Credit Card
O000016,2023-04-04,C00032,P0071,S009,1,0.1,Cash
O000017,2025-03-14,C02188,P0075,S009,1,0.05,Debit Card
O000018,2025-05-06,C04819,P0024,S009,1,0.0,Debit Card
O000019,2025-08-07,C05155,P0039,S006,3,0.05,UPI
O000020,2025-10-21,C01958,P0082,S006,1,0.0,Cash
O000021,2025-11-04,C07393,P0115,S018,1,0.05,UPI
O000022,2024-03-23,C01544,P0139,S025,1,0.0,UPI
O000023,2023-03-30,C07369,P0016,S022,1,0.0,UPI
O000024,2025-05-18,C05288,P0122,S015,3,0.0,Credit Card
O000025,2025-04-26,C00988,P0123,S006,2,0.0,Net Banking
O000026,2023-02-26,C01977,P0075,S009,3,0.05,UPI
O000027,2024-08-10,C06718,P0097,S012,2,0.05,Cash
O000028,2025-12-18,C02336,P0017,S011,1,0.05,Debit Card
O000029,2024-11-12,C00992,P0120,S011,1,0.0,Net Banking
O000030,2023-05-20,C06698,P0132,S012,1,0.05,UPI
O000031,2025-03-02,C02941,P0145,S012,3,0.05,UPI
O000032,2025-04-23,C00104,P0011,S021,4,0.0,Debit Card
O000033,2025-07-05,C06095,P0081,S005,1,0.15,Debit Card
O000034,2025-11-22,C02100,P0036,S003,1,0.0,UPI
O000035,2023-09-19,C02672,P0024,S024,1,0.0,Credit Card
O000036,2025-01-24,C06875,P0051,S015,2,0.0,Credit Card
O000037,2025-04-26,C00370,P0070,S003,1,0.15,UPI
O000038,2023-04-28,C01515,P0121,S002,1,0.0,Debit Card
O000039,2023-11-14,C01466,P0144,S005,1,0.1,Debit Card
O000040,2025-01-10,C05230,P0039,S010,3,0.0,Credit Card
O000041,2023-12-07,C04976,P0095,S002,1,0.0,Credit Card
O000042,2023-09-30,C04563,P0067,S001,1,0.15,Debit Card
O000043,2024-11-03,C01624,P0014,S018,1,0.0,Debit Card
O000044,2024-08-25,C06157,P0128,S013,1,0.1,UPI
O000045,2025-06-16,C04144,P0040,S010,1,0.05,Net Banking
O000046,2025-02-11,C04978,P0080,S023,2,0.15,Net Banking
O000047,2023-01-10,C05571,P0145,S021,1,0.1,Credit Card
O000048,2023-11-22,C07200,P0092,S024,1,0.1,UPI
O000049,2024-01-06,C02738,P0110,S006,2,,UPI
O000050,2023-10-27,C01727,P0037,S011,1,0.0,Credit Card
O000051,2024-09-14,C05881,P0106,S018,3,0.1,Debit Card
O000052,2025-08-27,C07873,P0015,S024,2,,UPI
O000053,2024-05-08,C02076,P0065,S014,1,0.0,UPI
